,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_leaf_nodes,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.43949875831604,0.01547771150416793,0.012803173065185547,0.0007492458464059702,3,sqrt,3,25,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 3, 'n_estimators': 25}",0.693001443001443,0.6916786916786917,0.6957671957671958,0.7006974506974507,0.6833814333814334,0.6929052429052429,0.005676722763648968,113
1,0.8481916904449462,0.012933924409422475,0.017203807830810547,0.0009797638313056678,3,sqrt,3,50,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 3, 'n_estimators': 50}",0.6907166907166907,0.6872294372294372,0.6956469456469456,0.700937950937951,0.6824194324194324,0.6913900913900914,0.006442354600441087,129
2,1.6570629596710205,0.03923393598538372,0.027806711196899415,0.004401204811789995,3,sqrt,3,100,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 3, 'n_estimators': 100}",0.6955266955266955,0.6915584415584416,0.6958874458874459,0.7005772005772006,0.6833814333814334,0.6933862433862433,0.005761675058415369,82
3,4.132235050201416,0.06855877673012747,0.05421195030212402,0.010964621634790393,3,sqrt,3,250,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 3, 'n_estimators': 250}",0.6952861952861953,0.6903559403559404,0.6956469456469456,0.7000962000962001,0.682058682058682,0.6926887926887927,0.006145051760423553,116
4,7.965087604522705,0.22877379409689214,0.08742985725402833,0.002327150922745665,3,sqrt,3,500,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 3, 'n_estimators': 500}",0.6956469456469456,0.6917989417989417,0.6956469456469456,0.7008177008177008,0.6833814333814334,0.6934583934583936,0.005797203297720227,81
5,0.48250837326049806,0.017423786914938316,0.014603471755981446,0.0012006282948430667,3,sqrt,6,25,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 6, 'n_estimators': 25}",0.7000962000962001,0.6964886964886965,0.7006974506974507,0.7003367003367004,0.6841029341029341,0.6963443963443963,0.0063061529493099325,78
6,0.9366114139556885,0.0301838945448073,0.02180514335632324,0.0023150861816879365,3,sqrt,6,50,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 6, 'n_estimators': 50}",0.701058201058201,0.6921596921596922,0.7017797017797017,0.7029822029822029,0.6859066859066859,0.6967772967772967,0.0066534729485705395,77
7,1.8076571464538573,0.04252123697418703,0.035407638549804686,0.0032622118381890977,3,sqrt,6,100,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 6, 'n_estimators': 100}",0.6957671957671958,0.6934824434824435,0.7025012025012025,0.703944203944204,0.6855459355459356,0.6962481962481963,0.006644512858295795,79
8,4.55257773399353,0.2862015321573857,0.06541409492492675,0.004587884173286675,3,sqrt,6,250,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 6, 'n_estimators': 250}",0.6991341991341992,0.6957671957671958,0.6994949494949495,0.7068302068302068,0.6842231842231842,0.6970899470899471,0.007377518831254444,76
9,9.065457773208617,0.22323509869966945,0.1281980037689209,0.02063853426619609,3,sqrt,6,500,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 6, 'n_estimators': 500}",0.6984126984126984,0.695045695045695,0.7008177008177008,0.7053872053872053,0.6871091871091871,0.6973544973544974,0.006130822394583672,75
10,0.4873101234436035,0.009929958879365517,0.014603185653686523,0.0008001566128588548,3,sqrt,9,25,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 9, 'n_estimators': 25}",0.697931697931698,0.7005772005772006,0.7006974506974507,0.7059884559884559,0.6885521885521886,0.6987493987493988,0.005730470243491834,68
11,0.8994029045104981,0.020424207683714068,0.0218050479888916,0.0031883634519232515,3,sqrt,9,50,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 9, 'n_estimators': 50}",0.7017797017797017,0.6938431938431938,0.7023809523809523,0.7067099567099567,0.68999518999519,0.6989417989417989,0.00610349620465962,67
12,1.7958059787750245,0.04178343252320261,0.03220696449279785,0.0019392511333362434,3,sqrt,9,100,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 9, 'n_estimators': 100}",0.7012987012987013,0.694925444925445,0.6988936988936989,0.7075517075517076,0.6845839345839346,0.6974506974506974,0.0076269296420678565,74
13,4.426166772842407,0.051590235193466595,0.06541485786437988,0.0029398657581707673,3,sqrt,9,250,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 9, 'n_estimators': 250}",0.7018999518999519,0.6970899470899471,0.7026214526214526,0.7063492063492064,0.6854256854256854,0.6986772486772488,0.007251550872394668,69
14,9.092564392089844,0.26025610980306263,0.12362761497497558,0.004674732614547562,3,sqrt,9,500,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 9, 'n_estimators': 500}",0.7011784511784511,0.6982924482924483,0.7023809523809523,0.7075517075517076,0.686988936988937,0.6992784992784993,0.006836470513694273,66
15,0.4226954936981201,0.014433815924697963,0.014803218841552734,0.0007483410625276796,3,log2,3,25,"{'max_depth': 3, 'max_features': 'log2', 'max_leaf_nodes': 3, 'n_estimators': 25}",0.6954064454064454,0.6832611832611832,0.6963684463684464,0.7018999518999519,0.6794131794131794,0.6912698412698413,0.008495005040913722,130
